Code,Description (English),বর্ণনা,
2,Capital Receipts,মূলধন প্রাপ্তি,
21,Sale of non financial assets,অআর্থিক সম্পদ বিক্রয়,
211,Sale of fixed assets,স্থায়ী সম্পদ বিক্রয়,
2111,Buildings and structures,ভবন ও স্হাপনাসমূহ,
21111,Residential buildings,আবাসিক ভবনসমূহ,
2111101,Residential buildings,আবাসিক ভবন,
21112,Non residential buildings,অনাবাসিক ভবনসমূহ,
2111201,Non residential buildings,অনাবাসিক ভবন,
21113,Other structures,অন্যান্য স্থাপনা,
2111301,Monuments,স্মৃতিসৌধ,
2111302,Roads & highways,সড়ক ও মহাসড়ক,
2111303,Bridges,সেতু,
2111304,Rural roads,গ্রামীণ সড়ক,
2111305,Culverts,কালভার্ট,
2111306,Irrigation structures,সেচ কাঠামো,
2111307,Drainage structures,নিকাশ (drainage) কাঠামো,
2111308,Sinking of tube well,নলকূপ স্থাপন,
2111309,Sanitation & water supply,স্বাস্থ্য বিধান (sanitation) ও পানি সরবরাহ,
2111310,Excavation of archaeological sites and monuments,স্মৃতিসৌধ ও প্রত্নতাত্ত্বিক স্থানসমূহ খনন,
2111311,Railway installations,রেলওয়ে স্থাপনা,
2111312,Telecommunication,টেলিযোগাযোগ,
2111313,Lines and wires,লাইন ও তার,
2111314,Mast and aerials,খুঁটি ও এরিয়াল,
2111315,Small capital works,স্বল্প মূলধনি কাজ,
21114,Land improvements,ভূমি উন্নয়ন,
2112,Machinery and equipment,যন্ত্রপাতি ও সরঞ্জামাদি,
21121,Transport equipment,পরিবহণ সরঞ্জামাদি,
2112101,Motor vehicle,মোটরযান,
2112102,Water vehicle,জলযান,
2112103,Aircraft,আকাশযান,
2112104,Rolling stock,রোলিং স্টক,
21122,Machinery and equipment other than transport equipment,পরিবহণ যন্ত্রপাতি ছাড়া অন্যান্য যন্ত্রপাতি ও সরঞ্জাম,
2112201,"Sale of information, computer,and telecommunications (ICT) equipments",তথ্য যোগাযোগ প্রযুক্তি সরঞ্জামাদি বিক্রয়,
2112202,Computers and accessories,কম্পিউটার ও আনুষঙ্গিক,
2112203,Radio equipments,বেতার সরঞ্জামাদি,
2112204,Telecommunication equipments,টেলিযোগাযোগ সরঞ্জামাদি,
2112205,"Sale of information, computer,and telecommunications equipment","তথ্য, কম্পিউটার, ও টেলিযোগাযোগ সরঞ্জাম বিক্রয়",
21123,Machinery and equipment not elsewhere classified,যন্ত্রপাতি ও সরঞ্জাম যা অন্যত্র শ্রেণিবদ্ধ নয়,
2112301,Ballot box,ব্যালট বাক্স,
2112302,Camera and accessories,ক্যামেরা ও আনুষঙ্গিক,
2112303,Electrical equipments,বৈদ্যুতিক সরঞ্জামাদি,
2112304,Engineering equipments,প্রকৌশল সরঞ্জামাদি,
2112305,Fire fighting equipments,অগ্নিনির্বাপক সরঞ্জামাদি,
2112306,Laboratory equipments,গবেষণাগার সরঞ্জামাদি,
2112307,Meteorological equipment,আবহাওয়া সম্পর্কিত সরঞ্জামাদি,
2112308,Mobile instrument,মোবাইল যন্ত্র,
2112309,Office equipment,অফিস সরঞ্জামাদি,
2112310,Tents and equipment,তাঁবু ও সরঞ্জাম,
2112311,Teaching and learning materials,শিক্ষা ও শিক্ষণ উপকরণ,
2112312,Solar electric panels,সৌরবিদ্যুৎ প্যানেল,
2112313,Furniture,আসবাবপত্র,
2113,Other fixed assets,অন্যান্য স্থায়ী সম্পদ,
21131,Cultivated biological resources,চাষকৃত জৈব সম্পদ,
2113101,Animal resources yielding repeat products,প্রাণিসম্পদ উৎপন্নকারী আবর্তক পণ্য,
2113102,"Tree, crop, and plant resources yielding repeat products","বৃক্ষ, শস্য ও উদ্ভিজ্জসম্পদ উৎপন্নকারী আবর্তক পণ্য",
21132,Intellectual property products,মেধাসম্পত্তি পণ্য,
2113201,Research and development,গবেষণা ও উন্নয়ন,
2113202,Mineral exploration and evaluation,খনিজ অনুসন্ধান ও মূল্যায়ন,
21133,Computer software and databases,কম্পিউটার সফট্ওয়্যার ও ড্যাটাবেজ,
2113301,Computer software,কম্পিউটার সফট্ওয়্যার,
2113302,Databases,ড্যাটাবেজ,
21134,"Entertainment, literary, and artistic originals","মৌলিক বিনোদন, সাহিত্য, ও শৈল্পিক স্বত্ব",
21135,Other Intellectual and property products,অন্যান্য মেধা সম্পত্তি পণ্য,
21136,Costs of ownership transfer on nonproduced assets other than land,ভূমি ব্যতীত অউৎপাদিত সম্পদের ওপর মালিকানা স্থানান্তর খরচ,
2114,Weapons systems,উইপন সিস্টেম,
21141,Weapons systems,উইপন সিস্টেম,
2114101,Military hardware,সামরিক যন্ত্রপাতি (hardware),
212,Sale of inventories,তালিকাভুক্ত মালামাল (inventories) বিক্রয়,
2121,Materials and supplies,উপকরণ ও সরবরাহ,
2122,Work in progress,চলমান কাজ,
2123,Finished goods,তৈরি পণ্য,
2124,Goods for resale,পুর্নবিক্রয় সামগ্রী,
21241,Food stuff,খাদ্য দ্রব্য,
2124101,Sale of rice,চাল বিক্রয়,
2124102,Sale of wheat,গম বিক্রয়,
2124103,Sale of edible oil,ভোজ্য তেল বিক্রয়,
2124104,Sale of corn,ভূট্টা বিক্রয়,
2124105,Sale of other foods,অন্যান্য খাদ্যদ্রব্য বিক্রয়,
2125,Sale of military inventories,তালিকাভুক্ত সামরিক মালামাল (inventories) বিক্রয়,
213,Sale of valuables,মূল্যবান দ্রব্য বিক্রয়,
2131,Valuables,মূল্যবান দ্রব্যাদি,
21311,Valuables,মূল্যবান দ্রব্যাদি,
2131101,"Museum artifacts, paintings, archives, and films","যাদুঘর শিল্পকর্ম, পেইন্টিং, আর্কাইভ ও চলচ্চিত্র",
214,Sale of nonproduced assets,অউৎপাদিত সম্পদ বিক্রয়,
2141,Land,ভূমি,
21411,Land,ভূমি,
2141101,Sale/disposal of land,জমি বিক্রয়/নিষ্পত্তি,
2142,Mineral and energy resources,খনিজ ও জ্বালানি সম্পদ,
21421,Mineral and energy resources,খনিজ ও জ্বালানি সম্পদ,
2143,Other naturally occurring assets,প্রাকৃতিকভাবে উৎপন্ন অন্যান্য সম্পদ,
21431,Non cultivated biological resources,অচাষকৃত জৈব সম্পদ,
2143101,Animal resources yielding repeat products,প্রাণিসম্পদ উৎপন্নকারী আবর্তক পণ্য,
